image,reason
remote-control_0156.jpg,cannot identify image file 'data\\remote-control_0156.jpg'
remote-control_0166.jpg,cannot identify image file 'data\\remote-control_0166.jpg'
YSQD_S21FE_binder_0127.jpg,cannot identify image file 'data\\YSQD_S21FE_binder_0127.jpg'
YSQD_S21FE_binder_0225.jpg,cannot identify image file 'data\\YSQD_S21FE_binder_0225.jpg'
YSQD_S21FE_remote-control_0083.jpg,cannot identify image file 'data\\YSQD_S21FE_remote-control_0083.jpg'
YSQD_S21FE_remote-control_0101.jpg,cannot identify image file 'data\\YSQD_S21FE_remote-control_0101.jpg'
YSQD_S21FE_soup-bowl_0069.jpg,cannot identify image file 'data\\YSQD_S21FE_soup-bowl_0069.jpg'
YSQD_S21FE_soup-bowl_0128.jpg,cannot identify image file 'data\\YSQD_S21FE_soup-bowl_0128.jpg'
YSQD_S21FE_teapot_0111.jpg,cannot identify image file 'data\\YSQD_S21FE_teapot_0111.jpg'
YSQD_S21FE_toilet-tissue_0128.jpg,cannot identify image file 'data\\YSQD_S21FE_toilet-tissue_0128.jpg'
